Row ID,Salesman ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,Product ID, Sales ,Quantity,Discount, Profit 
18,STAFF-2703,CA-2014-167164,21-Jul-22,31-Jul-22,Second Class,AG-10270,Alejandro Grove,Consumer,83300,OFF-ST-10000107, 55.5 ,2,0, 9.99 
19,STAFF-562,CA-2014-143336,02-Nov-11,24-Nov-11,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,15100,OFF-AR-10003056, 8.56 ,2,0, 2.4824 
20,STAFF-2002,CA-2014-143336,07-Aug-22,24-Aug-22,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,45609,TEC-PH-10001949, 213.48 ,3,0.2, 16.011 
21,STAFF-416,CA-2014-143336,11-Dec-20,01-Jan-21,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,18200,OFF-BI-10002215, 22.72 ,4,0.2, 7.384 
22,STAFF-2367,CA-2016-137330,08-Feb-09,24-Feb-09,Standard Class,KB-16585,Ken Black,Corporate,17070,OFF-AR-10000246, 19.46 ,7,0, 5.0596 
23,STAFF-2133,CA-2016-137330,08-Nov-16,07-Dec-16,Standard Class,KB-16585,Ken Black,Corporate,96850,OFF-AP-10001492, 60.34 ,7,0, 15.6884 
24,STAFF-1680,US-2017-156909,15-Aug-16,09-Sep-16,Second Class,SF-20065,Sandra Flanagan,Consumer,96600,FUR-CH-10002774, 71.372 ,2,0.3, -1.0196 
25,STAFF-485,CA-2015-106320,15-Sep-17,26-Sep-17,Standard Class,EB-13870,Emily Burns,Consumer,80200,FUR-TA-10000577, 1044.63 ,3,0, 240.2649 
26,STAFF-377,CA-2016-121755,06-Nov-23,04-Dec-23,Second Class,EH-13945,Eric Hoffmann,Consumer,20100,OFF-BI-10001634, 11.648 ,2,0.2, 4.2224 
27,STAFF-1406,CA-2016-121755,19-Nov-23,06-Dec-23,Second Class,EH-13945,Eric Hoffmann,Consumer,93350,TEC-AC-10003027, 90.57 ,3,0, 11.7741 
28,STAFF-1291,US-2015-150630,02-Aug-22,26-Aug-22,Standard Class,TB-21520,Tracy Blumstein,Consumer,2450,FUR-BO-10004834, 3083.43 ,7,0.5, -1665.0522 
29,STAFF-2546,US-2015-150630,30-Aug-20,17-Sep-20,Standard Class,TB-21520,Tracy Blumstein,Consumer,28300,OFF-BI-10000474, 9.618 ,2,0.7, -7.0532 
30,STAFF-1789,US-2015-150630,19-Mar-22,31-Mar-22,Standard Class,TB-21520,Tracy Blumstein,Consumer,93010,FUR-FU-10004848, 124.2 ,3,0.2, 15.525 
31,STAFF-629,US-2015-150630,18-Jan-24,08-Feb-24,Standard Class,TB-21520,Tracy Blumstein,Consumer,47180,OFF-EN-10001509, 3.264 ,2,0.2, 1.1016 
32,STAFF-172,US-2015-150630,11-Nov-12,04-Dec-12,Standard Class,TB-21520,Tracy Blumstein,Consumer,43650,OFF-AR-10004042, 86.304 ,6,0.2, 9.7092 
33,STAFF-623,US-2015-150630,18-May-21,16-Jun-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,6900,OFF-BI-10001525, 6.858 ,6,0.7, -5.715 
34,STAFF-919,US-2015-150630,27-Jun-20,11-Jul-20,Standard Class,TB-21520,Tracy Blumstein,Consumer,2100,OFF-AR-10001683, 15.76 ,2,0.2, 3.546 
35,STAFF-1083,CA-2017-107727,20-Jan-19,30-Jan-19,Second Class,MA-17560,Matt Abelman,Home Office,42800,OFF-PA-10000249, 29.472 ,3,0.2, 9.9468 
36,STAFF-1749,CA-2016-117590,06-Oct-09,15-Oct-09,First Class,GH-14485,Gene Hale,Corporate,62300,TEC-PH-10004977, 1097.544 ,7,0.2, 123.4737 
37,STAFF-2155,CA-2016-117590,27-Jul-18,14-Aug-18,First Class,GH-14485,Gene Hale,Corporate,59200,FUR-FU-10003664, 190.92 ,5,0.6, -147.963 
38,STAFF-1141,CA-2015-117415,23-Nov-22,15-Dec-22,Standard Class,SN-20710,Steve Nguyen,Home Office,71150,OFF-EN-10002986, 113.328 ,9,0.2, 35.415 
39,STAFF-282,CA-2015-117415,14-Jan-20,13-Feb-20,Standard Class,SN-20710,Steve Nguyen,Home Office,95500,FUR-BO-10002545, 532.3992 ,3,0.32, -46.9764 
40,STAFF-2918,CA-2015-117415,01-Jun-23,21-Jun-23,Standard Class,SN-20710,Steve Nguyen,Home Office,75300,FUR-CH-10004218, 212.058 ,3,0.3, -15.147 
41,STAFF-1472,CA-2015-117415,25-Dec-05,05-Jan-06,Standard Class,SN-20710,Steve Nguyen,Home Office,12100,TEC-PH-10000486, 371.168 ,4,0.2, 41.7564 
42,STAFF-1088,CA-2017-120999,28-Mar-24,16-Apr-24,Standard Class,LC-16930,Linda Cazamias,Corporate,82200,TEC-PH-10004093, 147.168 ,4,0.2, 16.5564 
43,STAFF-1354,CA-2016-101343,28-Aug-21,20-Sep-21,Standard Class,RA-19885,Ruben Ausman,Corporate,31600,OFF-ST-10003479, 77.88 ,2,0, 3.894 
44,STAFF-1719,CA-2017-139619,07-Apr-24,06-May-24,Standard Class,ES-14080,Erin Smith,Corporate,71800,OFF-ST-10003282, 95.616 ,2,0.2, 9.5616 
45,STAFF-1233,CA-2016-118255,24-Oct-23,03-Nov-23,First Class,ON-18715,Odella Nelson,Corporate,28320,TEC-AC-10000171, 45.98 ,2,0, 19.7714 
46,STAFF-577,CA-2016-118255,07-Jun-23,18-Jun-23,First Class,ON-18715,Odella Nelson,Corporate,2800,OFF-BI-10003291, 17.46 ,2,0, 8.2062 
47,STAFF-1548,CA-2014-146703,11-Jan-16,05-Feb-16,Second Class,PO-18865,Patrick O'Donnell,Consumer,26460,OFF-ST-10001713, 211.96 ,4,0, 8.4784 
48,STAFF-93,CA-2016-169194,17-Jun-99,27-Jun-99,Standard Class,LH-16900,Lena Hernandez,Consumer,21700,TEC-AC-10002167, 45 ,3,0, 4.95 
49,STAFF-2079,CA-2016-169194,16-Dec-19,11-Jan-20,Standard Class,LH-16900,Lena Hernandez,Consumer,95300,TEC-PH-10003988, 21.8 ,2,0, 6.104 
50,STAFF-1781,CA-2015-115742,06-Nov-22,02-Dec-22,Standard Class,DP-13000,Darren Powers,Consumer,16010,OFF-BI-10004410, 38.22 ,6,0, 17.9634 
51,STAFF-2133,CA-2015-115742,10-Mar-24,07-Apr-24,Standard Class,DP-13000,Darren Powers,Consumer,32100,OFF-LA-10002762, 75.18 ,6,0, 35.3346 
52,STAFF-997,CA-2015-115742,23-Jul-20,15-Aug-20,Standard Class,DP-13000,Darren Powers,Consumer,11200,FUR-FU-10001706, 6.16 ,2,0, 2.9568 
53,STAFF-529,CA-2015-115742,09-Feb-21,18-Feb-21,Standard Class,DP-13000,Darren Powers,Consumer,96300,FUR-CH-10003061, 89.99 ,1,0, 17.0981 
54,STAFF-1256,CA-2016-105816,29-Apr-20,23-May-20,Standard Class,JM-15265,Janet Molinari,Corporate,84300,OFF-FA-10000304, 15.26 ,7,0, 6.2566 
55,STAFF-1625,CA-2016-105816,07-Nov-23,29-Nov-23,Standard Class,JM-15265,Janet Molinari,Corporate,63000,TEC-PH-10002447, 1029.95 ,5,0, 298.6855 
56,STAFF-2884,CA-2016-111682,14-May-23,25-May-23,First Class,TB-21055,Ted Butterfield,Consumer,34310,OFF-ST-10000604, 208.56 ,6,0, 52.14 
57,STAFF-219,CA-2016-111682,12-Sep-19,28-Sep-19,First Class,TB-21055,Ted Butterfield,Consumer,86400,OFF-PA-10001569, 32.4 ,5,0, 15.552 
58,STAFF-2695,CA-2016-111682,28-Nov-23,09-Dec-23,First Class,TB-21055,Ted Butterfield,Consumer,34950,FUR-CH-10003968, 319.41 ,5,0.1, 7.098 
59,STAFF-912,CA-2016-111682,10-Oct-23,08-Nov-23,First Class,TB-21055,Ted Butterfield,Consumer,53300,OFF-PA-10000587, 14.56 ,2,0, 6.9888 
60,STAFF-2070,CA-2016-111682,27-Jul-07,19-Aug-07,First Class,TB-21055,Ted Butterfield,Consumer,17600,TEC-AC-10002167, 30 ,2,0, 3.3 
61,STAFF-1666,CA-2016-111682,29-Aug-21,17-Sep-21,First Class,TB-21055,Ted Butterfield,Consumer,6710,OFF-BI-10001460, 48.48 ,4,0.2, 16.362 
62,STAFF-758,CA-2016-111682,02-Aug-13,15-Aug-13,First Class,TB-21055,Ted Butterfield,Consumer,31550,OFF-AR-10001868, 1.68 ,1,0, 0.84 
63,STAFF-128,CA-2015-135545,04-Dec-12,20-Dec-12,Standard Class,KM-16720,Kunst Miller,Consumer,2450,TEC-AC-10004633, 13.98 ,2,0, 6.1512 
64,STAFF-2689,CA-2015-135545,03-Mar-23,24-Mar-23,Standard Class,KM-16720,Kunst Miller,Consumer,36010,OFF-BI-10001078, 25.824 ,6,0.2, 9.3612 
65,STAFF-2320,CA-2015-135545,22-May-24,17-Jun-24,Standard Class,KM-16720,Kunst Miller,Consumer,26680,OFF-PA-10003892, 146.73 ,3,0, 68.9631 
66,STAFF-952,CA-2015-135545,14-Aug-09,12-Sep-09,Standard Class,KM-16720,Kunst Miller,Consumer,96350,FUR-FU-10000397, 79.76 ,4,0, 22.3328 
67,STAFF-1793,US-2015-164175,03-Aug-23,21-Aug-23,Standard Class,PS-18970,Paul Stevenson,Home Office,71050,FUR-CH-10001146, 213.115 ,5,0.3, -15.2225 
68,STAFF-1483,CA-2014-106376,27-Apr-24,20-May-24,Standard Class,BS-11590,Brendan Sweed,Corporate,89100,OFF-AR-10002671, 1113.024 ,8,0.2, 111.3024 
69,STAFF-83,CA-2014-106376,06-Sep-20,30-Sep-20,Standard Class,BS-11590,Brendan Sweed,Corporate,93010,TEC-PH-10002726, 167.968 ,4,0.2, 62.988 
70,STAFF-1592,CA-2016-119823,16-Jul-23,07-Aug-23,First Class,KD-16270,Karen Daniels,Consumer,10460,OFF-PA-10000482, 75.88 ,2,0, 35.6636 
71,STAFF-1757,CA-2016-106075,30-Nov-18,10-Dec-18,Standard Class,HM-14980,Henry MacAllister,Consumer,2600,OFF-BI-10004654, 4.616 ,1,0.2, 1.731 
72,STAFF-1746,CA-2017-114440,18-Apr-22,29-Apr-22,Second Class,TB-21520,Tracy Blumstein,Consumer,40400,OFF-PA-10004675, 19.05 ,3,0, 8.763 
73,STAFF-2522,US-2015-134026,05-Mar-19,18-Mar-19,Standard Class,JE-15745,Joel Eaton,Consumer,89300,FUR-CH-10000513, 831.936 ,8,0.2, -114.3912 
74,STAFF-2293,US-2015-134026,31-Mar-23,13-Apr-23,Standard Class,JE-15745,Joel Eaton,Consumer,96700,FUR-FU-10003708, 97.04 ,2,0.2, 1.213 
75,STAFF-2261,US-2015-134026,07-Nov-23,29-Nov-23,Standard Class,JE-15745,Joel Eaton,Consumer,5050,OFF-ST-10004123, 72.784 ,1,0.2, -18.196 
76,STAFF-2787,US-2017-118038,22-Jul-17,01-Aug-17,First Class,KB-16600,Ken Brennan,Corporate,27630,OFF-BI-10004182, 1.248 ,3,0.8, -1.9344 
77,STAFF-704,US-2017-118038,24-Dec-19,21-Jan-20,First Class,KB-16600,Ken Brennan,Corporate,96150,FUR-FU-10000260, 9.708 ,3,0.6, -5.8248 
78,STAFF-1290,US-2017-118038,27-Mar-17,25-Apr-17,First Class,KB-16600,Ken Brennan,Corporate,94700,OFF-ST-10000615, 27.24 ,3,0.2, 2.724 
79,STAFF-322,US-2014-147606,10-Sep-22,22-Sep-22,Second Class,JE-15745,Joel Eaton,Consumer,16090,FUR-FU-10003194, 19.3 ,5,0.6, -14.475 
80,STAFF-443,CA-2016-127208,12-Jan-20,29-Jan-20,First Class,SC-20770,Stewart Carmichael,Corporate,5050,OFF-AP-10002118, 208.16 ,1,0, 56.2032 
81,STAFF-2535,CA-2016-127208,28-Jul-20,25-Aug-20,First Class,SC-20770,Stewart Carmichael,Corporate,26640,OFF-BI-10002309, 16.74 ,3,0, 8.0352 
82,STAFF-470,CA-2014-139451,03-Feb-17,01-Mar-17,Standard Class,DN-13690,Duane Noonan,Consumer,98750,OFF-AR-10002053, 14.9 ,5,0, 4.172 
83,STAFF-2261,CA-2014-139451,12-Nov-21,23-Nov-21,Standard Class,DN-13690,Duane Noonan,Consumer,43650,OFF-ST-10002370, 21.39 ,1,0, 6.2031 
84,STAFF-1074,CA-2015-149734,14-Apr-18,24-Apr-18,Standard Class,JC-16105,Julie Creighton,Corporate,34250,OFF-EN-10000927, 200.984 ,7,0.2, 62.8075 
85,STAFF-802,US-2017-119662,11-Apr-24,19-Apr-24,First Class,CS-12400,Christopher Schild,Home Office,93250,OFF-ST-10003656, 230.376 ,3,0.2, -48.9549 
86,STAFF-1331,CA-2017-140088,17-Nov-15,08-Dec-15,Second Class,PO-18865,Patrick O'Donnell,Consumer,47610,FUR-CH-10000863, 301.96 ,2,0, 33.2156 
87,STAFF-1871,CA-2017-155558,03-May-23,13-May-23,Standard Class,PG-18895,Paul Gonzalez,Consumer,75100,TEC-AC-10001998, 19.99 ,1,0, 6.7966 
88,STAFF-1292,CA-2017-155558,04-Jul-18,23-Jul-18,Standard Class,PG-18895,Paul Gonzalez,Consumer,18500,OFF-LA-10000134, 6.16 ,2,0, 2.9568 
89,STAFF-92,CA-2016-159695,08-Feb-18,10-Mar-18,Second Class,GM-14455,Gary Mitchum,Home Office,45500,OFF-ST-10003442, 158.368 ,7,0.2, 13.8572 
90,STAFF-777,CA-2016-109806,30-Jun-22,28-Jul-22,Standard Class,JS-15685,Jim Sink,Corporate,9400,OFF-AR-10004930, 20.1 ,3,0, 6.633 
91,STAFF-1400,CA-2016-109806,14-Sep-21,01-Oct-21,Standard Class,JS-15685,Jim Sink,Corporate,31150,TEC-PH-10004093, 73.584 ,2,0.2, 8.2782 
92,STAFF-819,CA-2016-109806,10-May-24,30-May-24,Standard Class,JS-15685,Jim Sink,Corporate,11500,OFF-PA-10000304, 6.48 ,1,0, 3.1104 
93,STAFF-1920,CA-2015-149587,27-May-17,12-Jun-17,Second Class,KB-16315,Karl Braun,Consumer,90100,OFF-PA-10003177, 12.96 ,2,0, 6.2208 
94,STAFF-2015,CA-2015-149587,03-May-19,19-May-19,Second Class,KB-16315,Karl Braun,Consumer,43500,FUR-FU-10003799, 53.34 ,3,0, 16.5354 
95,STAFF-577,CA-2015-149587,30-Nov-22,10-Dec-22,Second Class,KB-16315,Karl Braun,Consumer,47630,OFF-BI-10002852, 32.96 ,2,0, 16.1504 
96,STAFF-2217,US-2017-109484,19-Mar-24,05-Apr-24,Standard Class,RB-19705,Roger Barcio,Home Office,59100,OFF-BI-10004738, 5.682 ,1,0.7, -3.788 
97,STAFF-22,CA-2017-161018,24-Apr-97,20-May-97,Second Class,PN-18775,Parhena Norris,Home Office,11060,FUR-FU-10000629, 96.53 ,7,0, 40.5426 
98,STAFF-2523,CA-2017-157833,19-Aug-19,04-Sep-19,First Class,KD-16345,Katherine Ducich,Consumer,72000,OFF-BI-10001721, 51.312 ,3,0.2, 17.9592 
99,STAFF-438,CA-2016-149223,18-Oct-13,01-Nov-13,Standard Class,ER-13855,Elpida Rittenbach,Corporate,27670,OFF-AP-10000358, 77.88 ,6,0, 22.5852 
100,STAFF-1333,CA-2016-158568,27-Feb-24,13-Mar-24,Standard Class,RB-19465,Rick Bensley,Home Office,85200,OFF-PA-10003256, 64.624 ,7,0.2, 22.6184 
101,STAFF-608,CA-2016-158568,11-May-16,02-Jun-16,Standard Class,RB-19465,Rick Bensley,Home Office,27070,TEC-AC-10001767, 95.976 ,3,0.2, -10.7973 
102,STAFF-2088,CA-2016-158568,15-Oct-21,03-Nov-21,Standard Class,RB-19465,Rick Bensley,Home Office,11910,OFF-BI-10002609, 1.788 ,3,0.8, -3.0396 
103,STAFF-964,CA-2016-129903,14-Jan-19,28-Jan-19,Second Class,GZ-14470,Gary Zandusky,Consumer,10250,OFF-PA-10004040, 23.92 ,4,0, 11.7208 
104,STAFF-1464,US-2015-156867,02-Aug-16,31-Aug-16,Standard Class,LC-16870,Lena Cacioppo,Consumer,20050,TEC-AC-10001552, 238.896 ,6,0.2, -26.8758 
105,STAFF-822,US-2015-156867,17-Jun-23,30-Jun-23,Standard Class,LC-16870,Lena Cacioppo,Consumer,41100,FUR-FU-10004006, 102.36 ,3,0.2, -3.8385 
106,STAFF-1337,US-2015-156867,30-Jul-23,21-Aug-23,Standard Class,LC-16870,Lena Cacioppo,Consumer,26080,OFF-BI-10002794, 36.882 ,3,0.7, -25.8174 
107,STAFF-307,CA-2017-119004,10-Jun-22,23-Jun-22,Standard Class,JM-15250,Janet Martin,Consumer,16300,TEC-AC-10003499, 74.112 ,8,0.2, 17.6016 
108,STAFF-2859,CA-2017-119004,09-Dec-23,22-Dec-23,Standard Class,JM-15250,Janet Martin,Consumer,80100,TEC-PH-10002844, 27.992 ,1,0.2, 2.0994 
109,STAFF-635,CA-2017-119004,19-Mar-23,31-Mar-23,Standard Class,JM-15250,Janet Martin,Consumer,16810,OFF-AR-10000390, 3.304 ,1,0.2, 1.0738 
110,STAFF-320,CA-2015-129476,21-Sep-11,10-Oct-11,Standard Class,PA-19060,Pete Armstrong,Home Office,70400,TEC-AC-10000844, 339.96 ,5,0.2, 67.992 
111,STAFF-1936,CA-2017-146780,04-Dec-22,19-Dec-22,Standard Class,CV-12805,Cynthia Voltz,Corporate,13800,FUR-FU-10001934, 41.96 ,2,0, 10.9096 
112,STAFF-880,CA-2016-128867,12-Sep-15,07-Oct-15,Standard Class,CL-12565,Clay Ludtke,Consumer,5150,OFF-AR-10000380, 75.96 ,2,0, 22.788 
113,STAFF-522,CA-2016-128867,20-Dec-19,29-Dec-19,Standard Class,CL-12565,Clay Ludtke,Consumer,5250,OFF-BI-10003981, 27.24 ,6,0, 13.3476 
114,STAFF-1899,CA-2014-115259,28-Dec-16,27-Jan-17,Second Class,RC-19960,Ryan Crowe,Consumer,84900,OFF-FA-10000621, 40.096 ,14,0.2, 14.5348 
115,STAFF-751,CA-2014-115259,19-Jan-18,08-Feb-18,Second Class,RC-19960,Ryan Crowe,Consumer,81450,OFF-EN-10002600, 4.72 ,2,0.2, 1.652 
116,STAFF-1458,CA-2014-115259,12-Dec-22,02-Jan-23,Second Class,RC-19960,Ryan Crowe,Consumer,22100,OFF-PA-10004965, 23.976 ,3,0.2, 7.4925 
117,STAFF-2891,CA-2014-115259,04-Mar-22,16-Mar-22,Second Class,RC-19960,Ryan Crowe,Consumer,41000,OFF-EN-10002504, 130.464 ,6,0.2, 44.0316 
118,STAFF-1673,CA-2015-110457,03-Feb-22,04-Mar-22,Standard Class,DK-13090,Dave Kipp,Consumer,6570,FUR-TA-10001768, 787.53 ,3,0, 165.3813 
119,STAFF-802,US-2015-136476,11-Apr-24,20-Apr-24,Standard Class,GG-14650,Greg Guthrie,Corporate,40150,OFF-BI-10003650, 157.794 ,1,0.7, -115.7156 
120,STAFF-2113,CA-2016-103730,06-Nov-22,18-Nov-22,First Class,SC-20725,Steven Cartwright,Consumer,35950,FUR-FU-10002157, 47.04 ,3,0, 18.3456 
121,STAFF-1502,CA-2016-103730,13-Jun-23,30-Jun-23,First Class,SC-20725,Steven Cartwright,Consumer,80400,OFF-BI-10003910, 30.84 ,4,0, 13.878 
122,STAFF-1454,CA-2016-103730,24-Jan-21,01-Feb-21,First Class,SC-20725,Steven Cartwright,Consumer,31610,OFF-ST-10000777, 226.56 ,6,0, 63.4368 
123,STAFF-776,CA-2016-103730,01-Oct-23,12-Oct-23,First Class,SC-20725,Steven Cartwright,Consumer,58200,OFF-EN-10002500, 115.02 ,9,0, 51.759 
124,STAFF-2901,CA-2016-103730,29-Jul-19,11-Aug-19,First Class,SC-20725,Steven Cartwright,Consumer,6010,TEC-PH-10003875, 68.04 ,7,0, 19.7316 
125,STAFF-1940,US-2014-152030,06-Jan-23,22-Jan-23,Second Class,AD-10180,Alan Dominguez,Home Office,90300,FUR-CH-10004063, 600.558 ,3,0.3, -8.5794 
126,STAFF-629,US-2014-134614,29-Nov-23,19-Dec-23,Standard Class,PF-19165,Philip Fox,Consumer,14100,FUR-TA-10004534, 617.7 ,6,0.5, -407.682 
127,STAFF-1236,US-2017-107272,10-Jul-23,18-Jul-23,Standard Class,TS-21610,Troy Staebel,Consumer,21300,OFF-BI-10003274, 2.388 ,2,0.7, -1.8308 
128,STAFF-952,US-2017-107272,31-Dec-11,23-Jan-12,Standard Class,TS-21610,Troy Staebel,Consumer,6400,OFF-ST-10002974, 243.992 ,7,0.2, 30.499 
129,STAFF-1920,US-2016-125969,07-May-17,27-May-17,Second Class,LS-16975,Lindsay Shagiari,Home Office,34030,FUR-CH-10001146, 81.424 ,2,0.2, -9.1602 
130,STAFF-1677,US-2016-125969,13-Sep-16,01-Oct-16,Second Class,LS-16975,Lindsay Shagiari,Home Office,75000,FUR-FU-10003773, 238.56 ,3,0, 26.2416 
131,STAFF-2881,US-2017-164147,23-Mar-17,10-Apr-17,First Class,DW-13585,Dorothy Wardle,Corporate,31050,TEC-PH-10002293, 59.97 ,5,0.4, -11.994 
132,STAFF-709,US-2017-164147,23-Oct-17,10-Nov-17,First Class,DW-13585,Dorothy Wardle,Corporate,71010,OFF-PA-10002377, 78.304 ,2,0.2, 29.364 
133,STAFF-699,US-2017-164147,10-Jun-21,04-Jul-21,First Class,DW-13585,Dorothy Wardle,Corporate,27610,OFF-FA-10002780, 21.456 ,9,0.2, 6.9732 
134,STAFF-418,CA-2016-145583,13-Nov-18,22-Nov-18,Standard Class,LC-16885,Lena Creighton,Consumer,17610,OFF-PA-10001804, 20.04 ,3,0, 9.6192 
135,STAFF-1438,CA-2016-145583,23-Mar-16,08-Apr-16,Standard Class,LC-16885,Lena Creighton,Consumer,89500,OFF-PA-10001736, 35.44 ,1,0, 16.6568 
136,STAFF-1386,CA-2016-145583,09-Apr-07,25-Apr-07,Standard Class,LC-16885,Lena Creighton,Consumer,14310,OFF-AR-10001149, 11.52 ,4,0, 3.456 
137,STAFF-2840,CA-2016-145583,14-Dec-16,04-Jan-17,Standard Class,LC-16885,Lena Creighton,Consumer,6600,OFF-FA-10002988, 4.02 ,2,0, 1.9698 
138,STAFF-424,CA-2016-145583,19-Dec-18,12-Jan-19,Standard Class,LC-16885,Lena Creighton,Consumer,21300,OFF-BI-10004781, 76.176 ,3,0.2, 26.6616 
139,STAFF-2447,CA-2016-145583,23-Dec-21,03-Jan-22,Standard Class,LC-16885,Lena Creighton,Consumer,34300,OFF-SU-10001218, 65.88 ,6,0, 18.4464 
140,STAFF-562,CA-2016-145583,11-May-18,29-May-18,Standard Class,LC-16885,Lena Creighton,Consumer,25000,FUR-FU-10001706, 43.12 ,14,0, 20.6976 
141,STAFF-2858,CA-2016-110366,11-Feb-20,01-Mar-20,Second Class,JD-15895,Jonathan Doherty,Corporate,21600,FUR-FU-10004848, 82.8 ,2,0.2, 10.35 
142,STAFF-1252,CA-2017-106180,23-Dec-23,08-Jan-24,Standard Class,SH-19975,Sally Hughsby,Corporate,98200,OFF-AR-10000940, 8.82 ,3,0, 2.3814 
143,STAFF-239,CA-2017-106180,29-Jul-21,10-Aug-21,Standard Class,SH-19975,Sally Hughsby,Corporate,89000,OFF-EN-10004030, 10.86 ,3,0, 5.1042 
144,STAFF-1914,CA-2017-106180,25-Mar-24,12-Apr-24,Standard Class,SH-19975,Sally Hughsby,Corporate,89260,OFF-PA-10004327, 143.7 ,3,0, 68.976 
145,STAFF-394,CA-2017-155376,07-Oct-23,29-Oct-23,Standard Class,SG-20080,Sandra Glassco,Consumer,78000,OFF-AP-10001058, 839.43 ,3,0, 218.2518 
146,STAFF-1390,CA-2015-110744,30-Nov-19,28-Dec-19,Standard Class,HA-14920,Helen Andreada,Consumer,6050,OFF-ST-10003656, 671.93 ,7,0, 20.1579 
147,STAFF-2787,CA-2014-110072,18-Mar-24,31-Mar-24,Standard Class,MG-17680,Maureen Gastineau,Home Office,22300,FUR-FU-10000521, 93.888 ,4,0.2, 12.9096 
148,STAFF-448,CA-2016-114489,19-Mar-20,14-Apr-20,Standard Class,JE-16165,Justin Ellison,Corporate,96000,TEC-PH-10000215, 384.45 ,11,0, 103.8015 
149,STAFF-2164,CA-2016-114489,05-Jun-20,05-Jul-20,Standard Class,JE-16165,Justin Ellison,Corporate,15350,TEC-PH-10001448, 149.97 ,3,0, 5.9988 
150,STAFF-1264,CA-2016-114489,03-Jul-19,02-Aug-19,Standard Class,JE-16165,Justin Ellison,Corporate,79150,FUR-CH-10000454, 1951.84 ,8,0, 585.552 
